Description	
Number of Runs	23
Preset Time	30
Pause Time	0
Alarm Level	0
High Voltage	650
Step Voltage	25
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	650	0	30	11/25/11 04:32:55 AM	
2	675	2	30	11/25/11 04:33:26 AM	
3	700	28	30	11/25/11 04:33:56 AM	
4	725	38	30	11/25/11 04:34:27 AM	
5	750	32	30	11/25/11 04:34:57 AM	
6	775	40	30	11/25/11 04:35:28 AM	
7	800	45	30	11/25/11 04:35:58 AM	
8	825	49	30	11/25/11 04:36:28 AM	
9	850	54	30	11/25/11 04:36:59 AM	
10	875	45	30	11/25/11 04:37:29 AM	
11	900	59	30	11/25/11 04:37:59 AM	
12	925	67	30	11/25/11 04:38:30 AM	
13	950	61	30	11/25/11 04:39:00 AM	
14	975	55	30	11/25/11 04:39:31 AM	
15	1000	51	30	11/25/11 04:40:01 AM	
16	1025	62	30	11/25/11 04:40:31 AM	
17	1050	74	30	11/25/11 04:41:02 AM	
18	1075	61	30	11/25/11 04:41:32 AM	
19	1100	65	30	11/25/11 04:42:03 AM	
20	1125	55	30	11/25/11 04:42:33 AM	
21	1150	85	30	11/25/11 04:43:04 AM	
22	1175	78	30	11/25/11 04:43:34 AM	
23	1200	74	30	11/25/11 04:44:05 AM	
