Description	
Number of Runs	5
Preset Time	10
Pause Time	0
Alarm Level	0
High Voltage	1000
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	1000	920	10	11/25/11 05:41:11 AM	
2	1000	879	10	11/25/11 05:41:21 AM	
3	1000	900	10	11/25/11 05:41:31 AM	
4	1000	929	10	11/25/11 05:41:42 AM	
5	1000	851	10	11/25/11 05:41:52 AM	
6	1000	524	10	11/25/11 05:42:33 AM	
7	1000	507	10	11/25/11 05:42:43 AM	
8	1000	527	10	11/25/11 05:42:53 AM	
9	1000	496	10	11/25/11 05:43:03 AM	
10	1000	503	10	11/25/11 05:43:13 AM	
11	1000	360	10	11/25/11 05:45:05 AM	
12	1000	352	10	11/25/11 05:45:15 AM	
13	1000	310	10	11/25/11 05:45:25 AM	
14	1000	352	10	11/25/11 05:45:35 AM	
15	1000	332	10	11/25/11 05:45:46 AM	
16	1000	216	10	11/25/11 05:46:11 AM	
17	1000	228	10	11/25/11 05:46:21 AM	
18	1000	237	10	11/25/11 05:46:31 AM	
19	1000	210	10	11/25/11 05:46:41 AM	
20	1000	236	10	11/25/11 05:46:51 AM	
21	1000	157	10	11/25/11 05:47:12 AM	
22	1000	154	10	11/25/11 05:47:22 AM	
23	1000	171	10	11/25/11 05:47:33 AM	
24	1000	170	10	11/25/11 05:47:43 AM	
25	1000	143	10	11/25/11 05:47:53 AM	
26	1000	118	10	11/25/11 05:48:26 AM	
27	1000	127	10	11/25/11 05:48:36 AM	
28	1000	138	10	11/25/11 05:48:47 AM	
29	1000	126	10	11/25/11 05:48:57 AM	
30	1000	116	10	11/25/11 05:49:07 AM	
31	1000	106	10	11/25/11 05:49:27 AM	
32	1000	96	10	11/25/11 05:49:37 AM	
33	1000	99	10	11/25/11 05:49:48 AM	
34	1000	107	10	11/25/11 05:49:58 AM	
35	1000	110	10	11/25/11 05:50:08 AM	
36	1000	63	10	11/25/11 05:50:27 AM	
37	1000	104	10	11/25/11 05:50:37 AM	
38	1000	90	10	11/25/11 05:50:47 AM	
39	1000	80	10	11/25/11 05:50:57 AM	
40	1000	79	10	11/25/11 05:51:08 AM	
41	1000	75	10	11/25/11 05:51:25 AM	
42	1000	64	10	11/25/11 05:51:36 AM	
43	1000	64	10	11/25/11 05:51:46 AM	
44	1000	75	10	11/25/11 05:51:56 AM	
45	1000	80	10	11/25/11 05:52:06 AM	
46	1000	52	10	11/25/11 05:52:27 AM	
47	1000	61	10	11/25/11 05:52:37 AM	
48	1000	68	10	11/25/11 05:52:47 AM	
49	1000	57	10	11/25/11 05:52:57 AM	
50	1000	65	10	11/25/11 05:53:07 AM	
