Description	
Number of Runs	5
Preset Time	10
Pause Time	0
Alarm Level	0
High Voltage	1000
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	1000	543	10	11/25/11 05:59:01 AM	
2	1000	562	10	11/25/11 05:59:11 AM	
3	1000	530	10	11/25/11 05:59:21 AM	
4	1000	538	10	11/25/11 05:59:32 AM	
5	1000	500	10	11/25/11 05:59:42 AM	
6	1000	496	10	11/25/11 06:04:35 AM	
7	1000	532	10	11/25/11 06:04:45 AM	
8	1000	490	10	11/25/11 06:04:55 AM	
9	1000	552	10	11/25/11 06:05:06 AM	
10	1000	494	10	11/25/11 06:05:16 AM	
11	1000	532	10	11/25/11 06:05:42 AM	
12	1000	507	10	11/25/11 06:05:52 AM	
13	1000	486	10	11/25/11 06:06:02 AM	
14	1000	573	10	11/25/11 06:06:12 AM	
15	1000	509	10	11/25/11 06:06:22 AM	
16	1000	308	10	11/25/11 06:06:48 AM	
17	1000	316	10	11/25/11 06:06:59 AM	
18	1000	333	10	11/25/11 06:07:09 AM	
19	1000	371	10	11/25/11 06:07:19 AM	
20	1000	332	10	11/25/11 06:07:30 AM	
21	1000	292	10	11/25/11 06:07:55 AM	
22	1000	293	10	11/25/11 06:08:06 AM	
23	1000	293	10	11/25/11 06:08:16 AM	
24	1000	293	10	11/25/11 06:08:26 AM	
25	1000	278	10	11/25/11 06:08:36 AM	
26	1000	244	10	11/25/11 06:09:01 AM	
27	1000	223	10	11/25/11 06:09:12 AM	
28	1000	220	10	11/25/11 06:09:22 AM	
29	1000	257	10	11/25/11 06:09:32 AM	
30	1000	252	10	11/25/11 06:09:42 AM	
31	1000	216	10	11/25/11 06:10:10 AM	
32	1000	183	10	11/25/11 06:10:20 AM	
33	1000	168	10	11/25/11 06:10:30 AM	
34	1000	181	10	11/25/11 06:10:41 AM	
35	1000	220	10	11/25/11 06:10:51 AM	
36	1000	121	10	11/25/11 06:11:15 AM	
37	1000	123	10	11/25/11 06:11:25 AM	
38	1000	161	10	11/25/11 06:11:35 AM	
39	1000	124	10	11/25/11 06:11:45 AM	
40	1000	127	10	11/25/11 06:11:56 AM	
41	1000	68	10	11/25/11 06:12:19 AM	
42	1000	80	10	11/25/11 06:12:29 AM	
43	1000	82	10	11/25/11 06:12:39 AM	
44	1000	83	10	11/25/11 06:12:49 AM	
45	1000	101	10	11/25/11 06:12:59 AM	
46	1000	31	10	11/25/11 06:13:20 AM	
47	1000	38	10	11/25/11 06:13:30 AM	
48	1000	40	10	11/25/11 06:13:41 AM	
49	1000	34	10	11/25/11 06:13:51 AM	
50	1000	36	10	11/25/11 06:14:01 AM	
51	1000	27	10	11/25/11 06:14:25 AM	
52	1000	20	10	11/25/11 06:14:35 AM	
53	1000	28	10	11/25/11 06:14:45 AM	
54	1000	16	10	11/25/11 06:14:56 AM	
55	1000	22	10	11/25/11 06:15:06 AM	
56	1000	16	10	11/25/11 06:15:28 AM	
57	1000	15	10	11/25/11 06:15:39 AM	
58	1000	23	10	11/25/11 06:15:49 AM	
59	1000	18	10	11/25/11 06:15:59 AM	
60	1000	18	10	11/25/11 06:16:09 AM	
61	1000	8	10	11/25/11 06:16:32 AM	
62	1000	10	10	11/25/11 06:16:42 AM	
63	1000	3	10	11/25/11 06:16:52 AM	
64	1000	2	10	11/25/11 06:17:03 AM	
65	1000	2	10	11/25/11 06:17:13 AM	
