Description	
Number of Runs	23
Preset Time	30
Pause Time	0
Alarm Level	0
High Voltage	650
Step Voltage	25
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	650	0	30	11/25/11 04:12:36 AM	
2	675	0	30	11/25/11 04:13:06 AM	
3	700	0	30	11/25/11 04:13:37 AM	
4	725	15	30	11/25/11 04:14:07 AM	
5	750	1149	30	11/25/11 04:14:38 AM	
6	775	1938	30	11/25/11 04:15:08 AM	
7	800	2166	30	11/25/11 04:15:39 AM	
8	825	2176	30	11/25/11 04:16:09 AM	
9	850	2268	30	11/25/11 04:16:39 AM	
10	875	2366	30	11/25/11 04:17:10 AM	
11	900	2586	30	11/25/11 04:17:40 AM	
12	925	2495	30	11/25/11 04:18:11 AM	
13	950	2551	30	11/25/11 04:18:41 AM	
14	975	2543	30	11/25/11 04:19:12 AM	
15	1000	2763	30	11/25/11 04:19:42 AM	
16	1025	2737	30	11/25/11 04:20:12 AM	
17	1050	2724	30	11/25/11 04:20:43 AM	
18	1075	2822	30	11/25/11 04:21:13 AM	
19	1100	2831	30	11/25/11 04:21:44 AM	
20	1125	2842	30	11/25/11 04:22:14 AM	
21	1150	2853	30	11/25/11 04:22:45 AM	
22	1175	3060	30	11/25/11 04:23:15 AM	
23	1200	2980	30	11/25/11 04:23:46 AM	
