Description	
Number of Runs	500
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	1000
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	1000	649	1	11/25/11 05:25:28 AM	
2	1000	647	1	11/25/11 05:25:29 AM	
3	1000	678	1	11/25/11 05:25:30 AM	
4	1000	646	1	11/25/11 05:25:31 AM	
5	1000	664	1	11/25/11 05:25:32 AM	
6	1000	624	1	11/25/11 05:25:34 AM	
7	1000	614	1	11/25/11 05:25:35 AM	
8	1000	661	1	11/25/11 05:25:36 AM	
9	1000	666	1	11/25/11 05:25:37 AM	
10	1000	666	1	11/25/11 05:25:39 AM	
11	1000	670	1	11/25/11 05:25:40 AM	
12	1000	651	1	11/25/11 05:25:41 AM	
13	1000	622	1	11/25/11 05:25:42 AM	
14	1000	654	1	11/25/11 05:25:43 AM	
15	1000	615	1	11/25/11 05:25:44 AM	
16	1000	663	1	11/25/11 05:25:46 AM	
17	1000	668	1	11/25/11 05:25:47 AM	
18	1000	649	1	11/25/11 05:25:48 AM	
19	1000	617	1	11/25/11 05:25:49 AM	
20	1000	648	1	11/25/11 05:25:51 AM	
21	1000	649	1	11/25/11 05:25:52 AM	
22	1000	655	1	11/25/11 05:25:53 AM	
23	1000	613	1	11/25/11 05:25:54 AM	
24	1000	615	1	11/25/11 05:25:56 AM	
25	1000	685	1	11/25/11 05:25:57 AM	
26	1000	698	1	11/25/11 05:25:58 AM	
27	1000	648	1	11/25/11 05:25:59 AM	
28	1000	591	1	11/25/11 05:26:00 AM	
29	1000	646	1	11/25/11 05:26:01 AM	
30	1000	649	1	11/25/11 05:26:03 AM	
31	1000	628	1	11/25/11 05:26:04 AM	
32	1000	625	1	11/25/11 05:26:05 AM	
33	1000	628	1	11/25/11 05:26:06 AM	
34	1000	663	1	11/25/11 05:26:08 AM	
35	1000	648	1	11/25/11 05:26:09 AM	
36	1000	628	1	11/25/11 05:26:10 AM	
37	1000	660	1	11/25/11 05:26:11 AM	
38	1000	631	1	11/25/11 05:26:12 AM	
39	1000	664	1	11/25/11 05:26:14 AM	
40	1000	668	1	11/25/11 05:26:15 AM	
41	1000	658	1	11/25/11 05:26:16 AM	
42	1000	679	1	11/25/11 05:26:17 AM	
43	1000	654	1	11/25/11 05:26:19 AM	
44	1000	615	1	11/25/11 05:26:20 AM	
45	1000	632	1	11/25/11 05:26:21 AM	
46	1000	633	1	11/25/11 05:26:22 AM	
47	1000	594	1	11/25/11 05:26:23 AM	
48	1000	667	1	11/25/11 05:26:25 AM	
49	1000	664	1	11/25/11 05:26:26 AM	
50	1000	653	1	11/25/11 05:26:27 AM	
51	1000	666	1	11/25/11 05:26:28 AM	
52	1000	600	1	11/25/11 05:26:29 AM	
53	1000	644	1	11/25/11 05:26:31 AM	
54	1000	637	1	11/25/11 05:26:32 AM	
55	1000	641	1	11/25/11 05:26:33 AM	
56	1000	690	1	11/25/11 05:26:34 AM	
57	1000	643	1	11/25/11 05:26:35 AM	
58	1000	620	1	11/25/11 05:26:37 AM	
59	1000	660	1	11/25/11 05:26:38 AM	
60	1000	657	1	11/25/11 05:26:39 AM	
61	1000	658	1	11/25/11 05:26:40 AM	
62	1000	624	1	11/25/11 05:26:41 AM	
63	1000	629	1	11/25/11 05:26:42 AM	
64	1000	638	1	11/25/11 05:26:44 AM	
65	1000	643	1	11/25/11 05:26:45 AM	
66	1000	630	1	11/25/11 05:26:46 AM	
67	1000	631	1	11/25/11 05:26:47 AM	
68	1000	665	1	11/25/11 05:26:49 AM	
69	1000	664	1	11/25/11 05:26:50 AM	
