Description	
Number of Runs	100
Preset Time	2
Pause Time	0
Alarm Level	0
High Voltage	1000
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	1000	1	2	11/25/11 05:20:26 AM	
2	1000	0	2	11/25/11 05:20:28 AM	
3	1000	1	2	11/25/11 05:20:31 AM	
4	1000	1	2	11/25/11 05:20:33 AM	
5	1000	4	2	11/25/11 05:20:35 AM	
6	1000	1	2	11/25/11 05:20:37 AM	
7	1000	2	2	11/25/11 05:20:39 AM	
8	1000	3	2	11/25/11 05:20:41 AM	
9	1000	2	2	11/25/11 05:20:44 AM	
10	1000	1	2	11/25/11 05:20:46 AM	
11	1000	0	2	11/25/11 05:20:48 AM	
12	1000	0	2	11/25/11 05:20:50 AM	
13	1000	0	2	11/25/11 05:20:52 AM	
14	1000	0	2	11/25/11 05:20:54 AM	
15	1000	1	2	11/25/11 05:20:57 AM	
16	1000	0	2	11/25/11 05:20:59 AM	
17	1000	1	2	11/25/11 05:21:01 AM	
18	1000	1	2	11/25/11 05:21:03 AM	
19	1000	0	2	11/25/11 05:21:06 AM	
20	1000	1	2	11/25/11 05:21:08 AM	
21	1000	1	2	11/25/11 05:21:10 AM	
22	1000	0	2	11/25/11 05:21:12 AM	
23	1000	1	2	11/25/11 05:21:15 AM	
24	1000	1	2	11/25/11 05:21:17 AM	
25	1000	1	2	11/25/11 05:21:19 AM	
26	1000	0	2	11/25/11 05:21:21 AM	
27	1000	1	2	11/25/11 05:21:23 AM	
28	1000	0	2	11/25/11 05:21:26 AM	
29	1000	1	2	11/25/11 05:21:28 AM	
30	1000	1	2	11/25/11 05:21:30 AM	
31	1000	0	2	11/25/11 05:21:32 AM	
32	1000	2	2	11/25/11 05:21:34 AM	
33	1000	0	2	11/25/11 05:21:36 AM	
34	1000	1	2	11/25/11 05:21:38 AM	
35	1000	3	2	11/25/11 05:21:41 AM	
36	1000	0	2	11/25/11 05:21:43 AM	
37	1000	2	2	11/25/11 05:21:45 AM	
38	1000	1	2	11/25/11 05:21:47 AM	
39	1000	1	2	11/25/11 05:21:49 AM	
40	1000	1	2	11/25/11 05:21:52 AM	
41	1000	2	2	11/25/11 05:21:54 AM	
42	1000	0	2	11/25/11 05:21:56 AM	
43	1000	1	2	11/25/11 05:21:58 AM	
44	1000	3	2	11/25/11 05:22:01 AM	
45	1000	2	2	11/25/11 05:22:03 AM	
46	1000	3	2	11/25/11 05:22:05 AM	
47	1000	3	2	11/25/11 05:22:07 AM	
48	1000	1	2	11/25/11 05:22:09 AM	
49	1000	1	2	11/25/11 05:22:11 AM	
50	1000	0	2	11/25/11 05:22:14 AM	
51	1000	1	2	11/25/11 05:22:16 AM	
52	1000	3	2	11/25/11 05:22:18 AM	
53	1000	1	2	11/25/11 05:22:20 AM	
54	1000	1	2	11/25/11 05:22:22 AM	
55	1000	2	2	11/25/11 05:22:24 AM	
56	1000	1	2	11/25/11 05:22:27 AM	
57	1000	1	2	11/25/11 05:22:29 AM	
58	1000	3	2	11/25/11 05:22:31 AM	
59	1000	3	2	11/25/11 05:22:33 AM	
60	1000	0	2	11/25/11 05:22:35 AM	
61	1000	0	2	11/25/11 05:22:37 AM	
62	1000	3	2	11/25/11 05:22:40 AM	
63	1000	1	2	11/25/11 05:22:42 AM	
64	1000	1	2	11/25/11 05:22:44 AM	
65	1000	4	2	11/25/11 05:22:46 AM	
66	1000	1	2	11/25/11 05:22:48 AM	
67	1000	1	2	11/25/11 05:22:51 AM	
68	1000	0	2	11/25/11 05:22:53 AM	
69	1000	1	2	11/25/11 05:22:55 AM	
70	1000	1	2	11/25/11 05:22:57 AM	
71	1000	5	2	11/25/11 05:23:00 AM	
72	1000	0	2	11/25/11 05:23:02 AM	
73	1000	1	2	11/25/11 05:23:04 AM	
74	1000	1	2	11/25/11 05:23:06 AM	
75	1000	5	2	11/25/11 05:23:08 AM	
76	1000	1	2	11/25/11 05:23:11 AM	
77	1000	2	2	11/25/11 05:23:13 AM	
78	1000	2	2	11/25/11 05:23:15 AM	
79	1000	2	2	11/25/11 05:23:17 AM	
80	1000	3	2	11/25/11 05:23:20 AM	
81	1000	1	2	11/25/11 05:23:22 AM	
82	1000	0	2	11/25/11 05:23:24 AM	
83	1000	0	2	11/25/11 05:23:27 AM	
84	1000	0	2	11/25/11 05:23:29 AM	
85	1000	1	2	11/25/11 05:23:31 AM	
86	1000	2	2	11/25/11 05:23:33 AM	
87	1000	1	2	11/25/11 05:23:36 AM	
88	1000	1	2	11/25/11 05:23:38 AM	
89	1000	4	2	11/25/11 05:23:40 AM	
90	1000	2	2	11/25/11 05:23:42 AM	
91	1000	0	2	11/25/11 05:23:44 AM	
92	1000	2	2	11/25/11 05:23:46 AM	
93	1000	3	2	11/25/11 05:23:48 AM	
94	1000	0	2	11/25/11 05:23:51 AM	
95	1000	2	2	11/25/11 05:23:53 AM	
96	1000	0	2	11/25/11 05:23:55 AM	
97	1000	3	2	11/25/11 05:23:57 AM	
98	1000	3	2	11/25/11 05:23:59 AM	
99	1000	3	2	11/25/11 05:24:02 AM	
100	1000	0	2	11/25/11 05:24:04 AM	
