Description	
Number of Runs	23
Preset Time	30
Pause Time	0
Alarm Level	0
High Voltage	650
Step Voltage	25
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	650	0	30	11/25/11 05:06:44 AM	
2	675	43	30	11/25/11 05:07:15 AM	
3	700	2004	30	11/25/11 05:07:45 AM	
4	725	2479	30	11/25/11 05:08:15 AM	
5	750	3028	30	11/25/11 05:08:46 AM	
6	775	3389	30	11/25/11 05:09:16 AM	
7	800	3880	30	11/25/11 05:09:47 AM	
8	825	4129	30	11/25/11 05:10:17 AM	
9	850	4387	30	11/25/11 05:10:47 AM	
10	875	4621	30	11/25/11 05:11:17 AM	
11	900	4960	30	11/25/11 05:11:48 AM	
12	925	5159	30	11/25/11 05:12:18 AM	
13	950	5269	30	11/25/11 05:12:49 AM	
14	975	5290	30	11/25/11 05:13:19 AM	
15	1000	5468	30	11/25/11 05:13:50 AM	
16	1025	5445	30	11/25/11 05:14:20 AM	
17	1050	5466	30	11/25/11 05:14:50 AM	
18	1075	5401	30	11/25/11 05:15:21 AM	
19	1100	5505	30	11/25/11 05:15:51 AM	
20	1125	5617	30	11/25/11 05:16:22 AM	
21	1150	5444	30	11/25/11 05:16:52 AM	
22	1175	5732	30	11/25/11 05:17:23 AM	
23	1200	5697	30	11/25/11 05:17:53 AM	
